rawQuestionId,content,postId,score
"17020","Please tell me what are you doing to /boot that you need more than 64MB on it? Unless you never intend to clean it, anything more is a waste of space. Kernel image + initrd + System.map won't take more than 10MB (probably less - mine weight 5MB) and you really don't need to keep more than two spares. And with the current prices of RAM - if you are needing swap, you'll be much better off buying more memory. Reserve 1GB for swap and have something monitoring it's usage (no swap at all is bad idea because the machine might lock up when it runs out of free memory).","30216","0"
"14911","I have recently came across dompdf which I have used to convert pages created in HTML into PDF documents. It uses PHP5 (assuming using PHP does not bother you). This is also assuming that you don't want to statically create HTML files on the file system and then convert them using some kind of command-line tool? One problem I found with dompdf is that you don't get a whole lot of configuration options natively, but it is open-source and doesn't seem to be too large, so you could probably jury-rig something up pretty easily.","18255","0"
"14911","If you do have a budget take a look at the following OpenEdge . I know that they did excatly what you want for us. A linux based PDF generation system. I'd ask what they can do for you. Val Cassidy is the persons name. BTW: I'm not getting anything for this and I don't even work for bespoke company anymore nor for OpenEdge ...","18277","0"
"27266","443, when used for HTTPS, relies on SSL (not SSH) for its encryption. SSH looks different than SSL, so it would depend on what your ISP was actually looking for, but it is entirely possible that they could detect the difference. In my experience, though, you'd be more likely to see some personal firewall software block that sort of behavior since it's nonstandard. Fortunately, it's pretty easy to write an SSL tunnel using a SecureSocket of some type. In general, they can see how much bandwidth you are using, whether or not the traffic is encrypted. They'll still know the endpoints of the connection, how long it's been open, and how many packets have been sent, so if they base their shaping metrics on this sort of data, there's really nothing you can do to prevent them from throttling your connection.","27463","4"
"18265","Here is an example of how to get some more info using a demangler. As you can see this one also logs the stacktrace to file. #include #include #include #include #include <cxxabi.h> void sig_handler(int sig) { std::stringstream stream; void * array[25]; int nSize = backtrace(array, 25); char ** symbols = backtrace_symbols(array, nSize); for (unsigned int i = 0; i < size; i++) { int status; char *realname; std::string current = symbols[i]; size_t start = current.find("("); size_t end = current.find("+"); realname = NULL; if (start != std::string::npos && end != std::string::npos) { std::string symbol = current.substr(start+1, end-start-1); realname = abi::__cxa_demangle(symbol.c_str(), 0, 0, &status); } if (realname != NULL) stream << realname << std::endl; else stream << symbols[i] << std::endl; free(realname); } free(symbols); std::cerr << stream.str(); std::ofstream file("/tmp/error.log"); if (file.is_open()) { if (file.good()) file << stream.str(); file.close(); } signal(sig, &sig_handler); }","41924","3"
"6812","I used Gizmo Daemon for my PowerMate under Debian - it supports fancy keyboard keys as well (although I haven't tried it for those keys). Hacking on gizmod to get it to do what I wanted was pretty easy. Gizmo Daemon","12282","0"
"33545","Here's a link to the Mono Migration Analyzer to get started. It will help you pinpoint Microsoft specific calls, but you'll probably have to do the db conversion and data access layer manually. You may be surprised - mono does have a System.Data.SqlClient namespace so you may not have much work to do.","33598","4"
"2898","I've just started using OSX. Free editors of note that I've discovered: Komodo by ActiveState. No debugger or regex editor (although one comes with Python, i.e. redemo.py) in free version but perfectly usable. ERIC , written in PyQT. Eclipse with PyDev is my preferred option for editing Python on all platforms. Nice clean GUI, decent debugger. Good syntax parsing etc.","30242","1"
"18265","If you are on systems with the BSD backtrace functionality available (Linux, OSX 1.5, BSD of course), you can do this programmatically in your signal handler. For example ( backtrace code derived from IBM example ): #include <execinfo.h> #include <signal.h> #include <stdio.h> #include <stdlib.h> void sig_handler(int sig) { void * array[25]; int nSize = backtrace(array, 25); char ** symbols = backtrace_symbols(array, nSize); for (int i = 0; i < nSize; i++) { puts(symbols[i]);; } free(symbols); signal(sig, &sig_handler); } void h() { kill(0, SIGSEGV); } void g() { h(); } void f() { g(); } int main(int argc, char ** argv) { signal(SIGSEGV, &sig_handler); f(); } Output: 0 a.out 0x00001f2d sig_handler + 35 1 libSystem.B.dylib 0x95f8f09b _sigtramp + 43 2 ??? 0xffffffff 0x0 + 4294967295 3 a.out 0x00001fb1 h + 26 4 a.out 0x00001fbe g + 11 5 a.out 0x00001fcb f + 11 6 a.out 0x00001ff5 main + 40 7 a.out 0x00001ede start + 54 This doesn't get bonus points for the optional features (except not requiring a GUI), however, it does have the advantage of being very simple, and not requiring any additional libraries or programs.","18406","7"
"2898","http://xkcd.com/378/","30257","133"
"14911","I did some searching, what about tbookdtd ? It's downloadable here but it hasn't been active since 2005. It appears to convert the xml to Latex, into PDF.","15131","0"
"28588","I personnally used phpMyID just for StackOverflow. It's a simple two-files PHP script to put somewhere on a subdomain. Of course, it's not as easy as installing a .deb, but since OpenID relies completely on HTTP, I'm not sure it's advisable to install a self-contained server...","28604","5"
"2898","When I searched for TextMate alternative for Linux, I ended up using Geany . It's not as powerfull, but still nice to work with. Great replacement for Kate.","7852","4"
"88","From my experience, and from what I've read across the internet, the answer is "No," it is not guaranteed. It depends on CPU speed, operating system, flavor of Linux, etc.","93","4"
"88","Maybe. But you have bigger problems. gettimeofday() can result in incorrect timings if there are processes on your system that change the timer (ie, ntpd). On a "normal" Linux, though, I believe the resolution of gettimeofday() is 10us. It can jump forward and backward and time, consequently, based on the processes running on your system. This effectively makes the answer to your question no. You should look into clock_gettime(CLOCK_MONOTONIC) for timing intervals. It suffers from several fewer issues due to things like multi-core systems and external clock settings. Also, look into the clock_getres() function.","98","63"
"88","The actual resolution of gettimeofday() depends on the hardware architecture. Intel processors as well as SPARC machines offer high resolution timers that measure microseconds. Other hardware architectures fall back to the system’s timer, which is typically set to 100 Hz. In such cases, the time resolution will be less accurate. I obtained this answer from High Resolution Time Measurement and Timers, Part I","99","9"
"30931","There are two parts to this. You need to register a new file type and then create a desktop entry for your application . The desktop entry associates your application with your new mime type. I thought that both Gnome and KDE (maybe only 4+?) used the freedesktop shared mime info spec , but I may well be wrong.","31827","10"
"30931","Use xdg-utils from freedesktop.org Portland . Register the icon for the MIME type: xdg-icon-resource install --context mimetypes --size 48 myicon-file-type.png x-application-mytype Create a configuration file ( freedesktop Shared MIME documentation ): <?xml version="1.0"?> <mime-info xmlns='http://www.freedesktop.org/standards/shared-mime-info'> <mime-type type="application/x-mytype"> A witty comment Uno Commento </mime-type> </mime-info> Install the configuration file: xdg-mime install mytype-mime.xml This gets your files recognized and associated with an icon. xdg-mime default can be used for associating an application with the MIME type after you get a .desktop file installed.","31836","56"
"17020","@wvdschel: Don't create separate partitions for each user. Unused space on each partition is wasted. Instead create one partition for all users. Use quota if necessary to limit each user's space. It's much more flexible than partitioning or LVM. OTOH, one huge partition is usually a bit slower, depending on the file system.","30415","2"
"17020","Did you know 1TB can easily take up to half an hour to fsck ? Workstations usually crash and reboot more often than servers, so that can get quite annoying. Do you really need all that space?","30419","1"
"17020","I would go with a 1 GB for /boot, 100 GB for /, and the rest for /home. 1 GB is probably too high for /boot, but it's not like you'll miss it. 100 GB might seem like a lot for everything outside home, until you start messing around with Databases and realize that MySQL keeps databases in /var. Best to leave some room to grow in that area. The reason that I recommend using a separtate partition for /home, is that when you want to completely switch distros, or if the upgrade option on your distro of choice, for whatever reason doesn't work, or if you just want to start from scratch and do a clean system install, you can just format / and /boot, and leave home with all the user data intact.","30427","1"
"41643","One possibility may be to use mmap. You would map/unmap different parts of your data into the same virtual memory region. You could only have one set mapped at a time, but as long as there was enough physical memory, the data should stay resident.","41962","3"
"9279","How "real-time" do you want the syncing? I would still lean toward rsync since you know it is going to be fully supported on both platforms (Windows, too, with cygwin) and you can run it via a cron job. I have a super-simple bash file that I run on my system (this does not remove old files): #!/bin/sh rsync -avrz --progress --exclude-from .rsync_exclude_remote . remote_login@remote_computer:remote_dir # options # -a archive # -v verbose # -r recursive # -z compress Your best bet is to set it up and try it out. The -n (--dry-run) option is your friend! Keep in mind that rsync (at least in cygwin) does not support unicode file names (as of 16 Aug 2008).","9287","19"
"9279","You could always use version control, like SVN, so all you have to do is have the server run svn up on a folder every night. This runs into security issues if you are sharing your files publicly, but it works. If you are using Linux though, learn to use rsync. It's really not that difficult as you can test every command with -n. Go through the man page , the basic format you will want is rsync [OPTION...] SRC... [USER@]HOST:DEST the command I run from my school server to my home backup machine is this rsync -avi --delete ~ me@homeserv:~/School/ >> BackupLog.txt This takes all of the files in my home directory (~) and uses rsync's archive mode (-a), verbosly (-v), lists all of the changes made (-i), while deleting any files that don't exist anymore (--delete) and puts the in the Folder /home/me/School/ on my remote server. All of the information it prints out (what was copied, what was deleted, etc.) is also appended to the file BackupLog.txt I know that's a whirlwind tour of rsync, but I hope it helps.","9288","2"
"2898","The best I've found is gedit unfortunately. Spend a few hours with it and you'll discover it's not so bad, with plugins and themes. You can use the command line to open documents in it.","3203","2"
"2898","I use SciTE very small and simple text editor.","3205","10"
"2898","+1 for pico/nano -- lightweight, gets the job done, good help","3211","2"
"2898","Kate, the KDE Advanced Text Editor is quite good. It has syntax highlighting, block selection mode, terminal/console, sessions, window splitting both horizontal and vertical etc.","3217","25"
"41643","I assume you can modify the application. If so, the easiest thing would be to start the application several times (once for each 3GB chunk of video), have each one hold a chunk of video, and use another program to synchronize them so they each take control of the framebuffer (or other video output) in turn. The synchronization is going to be a little messy, perhaps, but it can be simplified if each app has its own framebuffer and the sync program points the video controller to the correct framebuffer inbetween frames when switching to the next app.","42007","1"
"9279","The rsync solutions are really good, especially if you're only pushing changes one way. Another great tool is unison -- it attempts to syncronize changes in both directions. Read more at the Unison homepage .","9302","2"
"2898","On Mac OS X, I have used BBEdit since the early 1990's, so I use that as my reference for all other editors. I sometimes use BBEdit to edit files on a Linux box using ftp mode, and that works very well if you have a fast network connection to the Linux box. I learned emacs two years ago because the rest of the programming team I joined uses it. I find emacs powerful but annoyingly old-fashioned in many ways, but once you have learned emacs, you can use it on any platform (Linux, OS X, Windows). This is the editor I use almost exclusively at work now. It is going to take me years to master all its features, though. I have also used gedit on Linux and found it very usable, but I haven't tried to use it as my primary editor for any project. I have a colleague at work who uses Komodo Edit 4.4 (free from activestate.com), running it on a Windows computer but using it in ftp mode so she can edit files on our Linux server. Komodo Edit has many nice features, but it takes a looonnnggg time to launch the first time.","3249","3"
"2898","I love TextMate on OSX. There is a kind of TextMate clone for Windows called simply "E" ( e-texteditor.com ). Its author promised that there will be a Linux version soon. Even if you already picked your favourite, TextMate (or E) is worth a look, simply because it is different. I would say that there are mainly four different families of text editors: classic menubar-based editors like WinEdit, Gedit or BBEdit Emacs and its brethren XEmacs, Aquamacs etc. VI / Vim / Cream and the like TextMate and E You can differenciate between these families by their different paradigms of usage: Classic editors rely mainly on a menubar and some Ctrl -key shortcuts. Emacs-style editing uses highly sophisticated keyboard commands like C-x-s and even whole words to evoke commands. VI is modebased and is operated by single-key commands or whole words. TextMate is based on Snippets and classic shortcuts. Emacs and TextMate are also easily extensible by user-created scripts in Lisp (Emacs) or any other command-line-language (TextMate). (Classic editors and VI are also extendable, but the effort is usually considerably bigger) I would recommend that everyone tried at least one good example of each of these families (if possible) and find out what suits them best.","7949","0"
"34588","You could always try doing a ulimit -n 2048 . This will only reset the limit for your current shell and the number you specify must not exceed the hard limit Each operating system has a different hard limit setup in a configuration file. For instance, the hard open file limit on Solaris can be set on boot from /etc/system. set rlim_fd_max = 166384 set rlim_fd_cur = 8192 On OS X, this same data must be set in /etc/sysctl.conf. kern.maxfilesperproc=166384 kern.maxfiles=8192 Under Linux, these settings are often in /etc/security/limits.conf. There are two kinds of limits: soft limits are simply the currently enforced limits hard limits mark the maximum value which cannot be exceeded by setting a soft limit Soft limits could be set by any user while hard limits are changeable only by root. Limits are a property of a process. They are inherited when a child process is created so system-wide limits should be set during the system initialization in init scripts and user limits should be set during user login for example by using pam_limits. There are often defaults set when the machine boots. So, even though you may reset your ulimit in an individual shell, you may find that it resets back to the previous value on reboot. You may want to grep your boot scripts for the existence ulimit commands if you want to change the default.","34645","171"
"24648","Take Mike Stone's advice and start with Minix. That's what Linus did! The textbook is really well written, and Tannenbaum does a great job of showing how the various features are implemented in a real system.","25702","1"
"24595","I'm not sure what you're asking here, but if you are simply looking for a text-editor, my recommendations would be: Console-based: jed (simple, with a DOS Edit-like menubar, supports syntax-highlighing) nano / pico (even simpler) X-based: Kate (KDE, syntax-highlighing) Mousepad (like notepad) SciTE (syntax-highlighing) There are of course likely to be a gazillion other text-editors better than the ones listed above, but these are the ones I tend to use.","24613","4"
"9279","To detect changed files, you could try fam (file alteration monitor) or inotify. The latter is linux-specific, fam has a bsd port which might work on OS X. Both have userspace tools that could be used in a script together with rsync.","9346","4"
"9279","It seems like perhaps you're solving the wrong problem. If you're trying to edit files on a remote computer then you might try using something like the ftp plugin for jedit. http://plugins.jedit.org/plugins/?FTP This ensures that you have only one version of the file so it can't ever be out of sync.","9353","1"
"15171","If you're talking about scripts created by a user that will be run from that users crontab, I typically put those in either a bin or scripts folder in the home directory, or if they're intended to be shared between users, a /usr/local/scripts directory.","15177","19"
"45252","You need multi-processing or multi-threading. You aren't specific on the details of the server, so I can't give you advice on what to do exactly. fork and exec as Matt suggested can be a solution, but really: what kind of protocol/server are we talking about?","46229","1"
"41643","My, what an interesting problem :) ( EDIT : Oh, I just read Rob's ram drive post...I got all excited by the problem...but have a bit more to suggest, so I won't delete) Would it be possible to... setup a multi-gigabyte ram disk, and then modify the program to do all it's reading from the "disk"? I'd guess the ram disk part is where all the problem would be, since the size of the ram disk would be OS and file system dependent. You might have to create multiple ram disks and have your code jump between them. Or maybe you could setup a RAID-0 stripe set over multiple ram disks. Or, if there are still OS limitations and you can afford to drop a couple grand (4k?), setup a hardware RAID-0 strip set with some of those new blazing fast solid state drives. Or... Fun, fun, fun. Be sure to follow up!","42105","1"
"15171","I'm a strong beleiver that if a file is made by a user, it goes in his user directory (/home/username) if he didn't make it then it gets more complicated. I have in the past just put them in either /usr/local/bin, /bin, or /usr/local/scripts, I'm not sure about etch, but you need to check to make sure that /usr/local/scripts is actually in Cron's $PATH.","15189","4"
"15171","You can also add paths to your crontab file as shown in a previous cron-related question .","15194","0"
"24648","Linux Device Drivers Linux Core Kernel Commentary Operating Systems Design and Implementation I had previously bought these books on recommendation for the same purpose but I never got to studying them myself so only take them as second-hand advice.","24667","5"
"24648","As a Linux user I'd say Linux has a great community for people to learn about the kernel. http://kernelnewbies.org is a great place to start asking questions and learning about how the kernel works. I can't make a book reccomendation, but once you've read the starting material on kernelnewbies the source is very well documented.","24668","7"
"5078","@svrist mentioned EC2. EC2 provides an API for opening and closing ports remotely. This way, you can keep your box running. If you need to give a demo from a coffee shop or a client's office, you can grab your IP and add it to the ACL.","24676","2"
"24648","In college, I had an operating systems class where we used a book by Tanenbaum . In the class, we implemented a device driver in the Minix operating system . It was a lot of fun, and we learned a lot. One thing to note though, if you pick Minix, it is designed for learning. It is a microkernel, while Linux and BSD are a monolithic kernel, so what you learn may not be 100% translatable to be able to work with Linux or BSD, but you can still gain a lot out of it, without having to process quite as much information. As a side note, if you've read Just for Fun , Linus actually was playing with Minix before he wrote Linux, but it just wasn't enough for his purposes.","24682","12"
"15211","There is an alternative called KDESVN which you might want to try. However, I have never used it, so I cannot vouch for it.","15225","2"
"40317","You might try a lazy unmount: umount -l","40320","254"
"40317","Try running lsof | grep /mnt/data That should list any process that is accessing /mnt/data that would prevent it from being unmounted.","40331","20"
"24648","Aside from the good books already mentioned (Opeating System Design & Implementation is particularly good), get a hold of a 1.x release Linux Kernel, load it into VMWare or VirtualBox and start playing around from there. You will need to spend a lot of time browsing source code. For this, check out http://lxr.linux.no/ which is a browsable linked version of the source and makes life a lot easier. For the very first version of Linux (0.01) check out http://lxr.linux.no/linux-old+v0.01/ . The fun begins at http://lxr.linux.no/linux-old+v0.01/boot/boot.s . As you progress from version to version, check out the ChangeLog and dig into those parts that have changed to save you re-reading the whole thing again. Once you've gotten a hold of the concepts, look at 2.0, then 2.2, etc. Be prepared to sink A LOT of time into the process.","24732","6"
"14032","No recommendations as such, but, You might want to broaden your search to Eclipse plugins such as http://eclipse-erd.sourceforge.net/ . Apart from that there are various ERD tools you have to pay for like Data Architect .","14091","1"
"14032","Check out SQL Developer: [ http://sqldeveloper.solyp.com/download/index.html]","14112","2"
"45252","The question is a little unclear to me, but I suspect the answer you are looking for is to have a single process accepting tasks from the network, and then forking off 'worker processes' to actually perform the work (before returning the result to the user). In that way, the work which is being done does not block the acceptance of more requests. As you point out, the term load balancing carries the implication of multiple servers - what you want to look for is information about how to write a linux network daemon. The two kes system calls you'll want to look at are called fork and exec .","45272","2"
"24648","When I was at uni I spent a semester studying operating systems, and as part of this had an assignment where we had to implement a RAM-based filesystem in Linux. It was a fantastic way to get to understand the internals of the Linux keurnel and to get a grasp on how everything fits together - And a heck of a lot of fun playing around with how it interacts with standard tools too.","24794","0"
"45252","It sounds like you just need to integrate your server with xinetd . This is a server that listens on predefined ports (that you control through config) and forks off processes to handle the actual communication on that port.","45356","2"
"24648","There's no substitute for diving into the code. Try to find a driver or subsystem that you're interested in and poke around with it. With tools like VMware Workstation it's super easy to make whatever changes you want, snapshot the VM, and run your modified kernel. If the kernel panics on boot, who cares? Just jump back to the snapshot and fix the problem. For books, I strongly recommend Linux Kernel Development by Robert Love. It's a wonderfully written book -- lots of information, organized sanely, and humorous... not dry reading at all.","24803","1"
"6812","I can't say for certain because I'm not using Debian but if you're using Gnome the easiest way is to run gnome-keybinding-properties (System > Preferences > Keyboard Shortcuts) Instead of typing a shortcut such as Ctrl + M , hit the button on your keyboard. If you would prefer to do this via command line or with a different desktop environment, this may help: Unusual keys and keyboards","6821","2"
"45252","You also may want to go with a web server like nginx . It can load balance your app against multiple ports of the same app, and is commonly used to load balance Ruby on Rails apps (which are single threaded). The downside is that you need to run multiple copies of your app (one on each port) for this load balancing to work.","45370","2"
"5078","There are plenty of ways to do this that will work just fine. I would usually jsut use a .htaccess file. Quick to set up and secure enough . Probably not the best option but it works for me. I wouldn't put my credit card numbers behind it but other than that I dont really care.","5080","0"
"5078","Its safe and secure if you keep your voice down about it (i.e., rarely will someone come after your home server if you're just hosting a glorified webroot on a home connection) and your wits up about your configuration (i.e., avoid using root for everything, make sure you keep your software up to date). On that note, albeit this thread will potentially dwindle down to just flaming, my suggestion for your personal server is to stick to anything Ubuntu ( get Ubuntu Server here ); in my experience, the quickest to get answers from whence asking questions on forums (not sure what to say about uptake though). My home server security BTW kinda benefits (I think, or I like to think) from not having a static IP (runs on DynDNS). Good luck! /mp","5090","1"
"5078","Wow, you're opening up a can of worms as soon as you start opening anything up to external traffic. Keep in mind that what you consider an experimental server, almost like a sacrificial lamb, is also easy pickings for people looking to do bad things with your network and resources. Your whole approach to an externally-available server should be very conservative and thorough. It starts with simple things like firewall policies, includes the underlying OS (keeping it patched, configuring it for security, etc.) and involves every layer of every stack you'll be using. There isn't a simple answer or recipe, I'm afraid. If you want to experiment, you'll do much better to keep the server private and use a VPN if you need to work on it remotely.","5092","0"
"5078","This article has some of the best ways to lock things down: http://www.petefreitag.com/item/505.cfm Some highlights: Make sure no one can browse the directories Make sure only root has write privileges to everything, and only root has read privileges to certain config files Run mod_security The article also takes some pointers from this book: Apache Securiy (O'Reilly Press) As far as distros, I've run Debain and Ubuntu, but it just depends on how much you want to do. I ran Debian with no X and just ssh'd into it whenever i needed anything. That is a simple way to keep overhead down. Or Ubuntu has some nice GUI things that make it easy to control Apache/MySQL/PHP.","5108","5"
"32027","This shouldn't be a particularly difficult excercise. We do some fairly similar stuff on one of my projects since half of it runs on Java using Ant to run relevant targets, and the other half is .Net (C#) for the UI. The projects get run on windows machines for development, but the servers (Java) run linux, but in the UAT environment (linux) we need to run the nunits (integration tests). The real trick (not really a difficult trick) behind this is having a NAnt build file that can run in both environments which seems to be the same thing you're trying to do here. Of course you realise you'll need to install NAnt on Mono first: $ export MONO_NO_UNLOAD=1 $ make clean $ make $ mono bin/NAnt.exe clean build And then your build file needs to be written in such a way that it seperates concerns. Some parts of the build file written for windows will not work in linux for example. So you really just need to divide it up ito specific targets in the build file. After that, there are a number of ways you can run a specific targets from the command line. An example might look like this: You get the idea... You get the idea... You get the idea... For brevity, I've left both sides out. The neat thing is you can use NUnit as well as NAnt on both environments and that makes things really easy from a dependency point of view. And for each executable you can swap out for others that work in that environment, for example (xBuild for MSBuild, and svn for tortoise etc) For more help on Nunit etc on Mono, check out this fantastic post . Hope that helps, Cheers, Rob G","32317","8"
"5078","Be careful about opening the SSH port to the wild. If you do, make sure to disable root logins (you can always su or sudo once you get in) and consider more aggressive authentication methods within reason. I saw a huge dictionary attack in my server logs one weekend going after my SSH server from a DynDNS home IP server. That being said, it's really awesome to be able to get to your home shell from work or away... and adding on the fact that you can use SFTP over the same port, I couldn't imagine life without it. =)","5110","1"
"2898","I agree with Mike, though I'm a Vim die-hard. I've been using GEdit quite frequently lately when I'm doing lightweight Ruby scripting. The standard editor (plus Ruby code snippets) is extremely usable and polished, and can provide a nice reprieve from full-strength, always-on programming editors.","8309","1"
"52187","Would you be able to use a USB->RS232 adapter? I have a few, and they just use the FTDI driver. Then, you should be able to rename /dev/ttyUSB0 (or whatever gets created) as /dev/ttyS2 .","52232","5"
"6812","There's a few different ways to do so, the easiest generally being keytouch , which is probably available in the Debian repositories. The user manual is here . There is a chance that your keyboard won't work with it though.","12589","0"
"52239","Have you tried logging into Linux as your installed Oracle user then sqlplus "/ as sysdba" When you log in you'll be able to change your password. alter user sys identified by ; Good luck :)","52244","29"
