title,content,tags,postId,score
"Bursty writes to SD/USB stalling my time-critical apps on embedded Linux","I'm working on an embedded Linux project that interfaces an ARM9 to a hardware video encoder chip, and writes the video out to SD card or USB stick. The software architecture involves a kernel driver that reads data into a pool of buffers, and a userland app that writes the data to a file on the mounted removable device. I am finding that above a certain data rate (around 750kbyte/sec) I start to see the userland video-writing app stalling for maybe half a second, about every 5 seconds. This is enough to cause the kernel driver to run out of buffers - and even if I could increase the number of buffers, the video data has to be synchronised (ideally within 40ms) with other things that are going on in real time. Between these 5 second ""lag spikes"", the writes complete well within 40ms (as far as the app is concerned - I appreciate they're buffered by the OS) I think this lag spike is to do with the way Linux is flushing data out to disk - I note that pdflush is designed to wake up every 5s, my understanding is that this would be what does the writing. As soon as the stall is over the userland app is able to quickly service and write the backlog of buffers (that didn't overflow). I think the device I'm writing to has reasonable ultimate throughput: copying a 15MB file from a memory fs and waiting for sync to complete (and the usb stick's light to stop flashing) gave me a write speed of around 2.7MBytes/sec. I'm looking for two kinds of clues: How can I stop the bursty writing from stalling my app - perhaps process priorities, realtime patches, or tuning the filesystem code to write continuously rather than burstily? How can I make my app(s) aware of what is going on with the filesystem in terms of write backlog and throughput to the card/stick? I have the ability to change the video bitrate in the hardware codec on the fly which would be much better than dropping frames, or imposing an artificial cap on maximum allowed bitrate. Some more info: this is a 200MHz ARM9 currently running a Montavista 2.6.10-based kernel. Updates: Mounting the filesystem SYNC causes throughput to be much too poor. The removable media is FAT/FAT32 formatted and must be as the purpose of the design is that the media can be plugged into any Windows PC and read. Regularly calling sync() or fsync() say, every second causes regular stalls and unacceptably poor throughput I am using write() and open(O_WRONLY | O_CREAT | O_TRUNC) rather than fopen() etc. I can't immediately find anything online about the mentioned ""Linux realtime filesystems"". Links? I hope this makes sense. First embedded Linux question on stackoverflow? :)","linux,video,embedded,filesystems,real-time","78157","14"
"Video capture on Linux?","We need to capture live video and display easily on Linux. We need a cheap card or USB device with a simple API. Anyone want to share some experience?","linux,video,video-capture,image-capture","83899","6"
"Why does Imake interpret certain words in a Imakefile to numerical values?","I've found it very difficult to find any existing documentation on this. What I'm trying to find out is why Imake would interpret a word such as unix, linux or i386 to a number 1 in the produced Make-file? I'm sure it is a function of indicating whether or not your on that system or not. I've not been able to find that this is a #define set somewhere, so is this something that's built in?","linux,unix,makefile","86047","1"
"Application Control Scripts on Unix","I'm looking for some software that allows me to control a server based application, that is, there are bunch of interdependent processes that I'd like to be able to start up, shut down and monitor in a controller manner. I've come across programs like Autosys, but that's expensive and very much over the top for what I want. I've also seen AppCtl, but that seems not to handle dependencies. Maybe it would be possible to repurpose the init scripts? Oh, and as an added complication it should be able to run on a Solaris 10 or Linux box without installing any new binaries. On the boxes I've seen recently, that means shell scripts and Perl but not Python. Do any such programs exist or do I need to dust off my copy of Programming Perl?","linux,unix,solaris,scripting","37851","1"
"Running Apache alongside another web server?","Has anyone had any success running two different web servers -- such as Apache and CherryPy -- alongside each other on the same machine? I am experimenting with other web servers right now, and I'd like to see if I can do my experiments while keeping my other sites up and running. You could say that this isn't so much a specific-software question as it is a general networking question. I know it's possible to run two web servers on different ports; but is there any way to configure them so that they can run on the same port (ie, they both run on port 80)? The web servers would not be serving files from the same domains. For example, Apache might serve up documents from foo.domain.com, and the other web server would serve from bar.domain.com. I do know that this is not an ideal configuration. I'd just like to see if it can be done before I go sprinting down the rabbit hole. :)","linux,apache","23715","3"
"Difference between `/dev/ttyS0` and `/dev/ttys0`?","In Linux, what is the difference between /dev/ttyS0 and /dev/ttys0? I know that the first is a serial port, but what about the second, with the small s?","linux,serial-port","22106","2"
"Changing the resolution of a VNC session in linux","I use VNC to connect to a Linux workstation at work. At work I have a 20"" monitor that runs at 1600x1200, while at home I use my laptop with its resolution of 1440x900. If I set the vncserver to run at 1440x900 I miss out on a lot of space on my monitor, whereas if I set it to run at 1600x1200 it doesn't fit on the laptop's screen, and I have to scroll it all the time. Is there any good way to resize a VNC session on the fly? My VNC server is RealVNC E4.x (I don't remember the exact version) running on SuSE64.","linux,vnc","15816","176"
"How can I help port Google Chrome to Linux?","I really enjoy Chrome, and the sheer exercise of helping a port would boost my knowledge-base. Where do I start? What are the fundamental similarities and differences between the code which will operated under Windows and Linux? What skills and software do I need? Note: The official website is Visual Studio oriented! Netbeans or Eclipse are my only options. I will not pay Microsoft to help an Open Source project.","linux,google-chrome,porting","48235","5"
"Which resources should one monitor on a Linux server running a web-server or database","When running any kind of server under load there are several resources that one would like to monitor to make sure that the server is healthy. This is specifically true when testing the system under load. Some examples for this would be CPU utilization, memory usage, and perhaps disk space. What other resource should I be monitoring, and what tools are available to do so?","linux,performance,system-administration","74993","6"
"VMWare Server Under Linux Secondary NIC connection","With VMWare Server running under Linux (Debain), I would like to have the following setup: 1st: NIC being used by many of the images running under VMWare, as well as being used by the Linux OS 2nd: NIC being used by only 1 image and to be unused by the Linux OS (as its part of a DMZ) Although the second NIC won't be used by Linux, it is certainly recognised as a NIC (e.g. eth1). Is this possible under VMWare Server, and if so, is it as simple as not binding eth1 under Linux and then bridging it to the image under VMWare Server?","linux,vmware,system-administration,nic","8940","0"
"How do I add a user in Ubuntu?","Specifically, what commands do I run from the terminal?","linux,ubuntu,system-administration,user-management","38288","68"
"Unix Proc Directory","I am trying to find the virtual file that contains the current users id. I was told that I could find it in the proc directory, but not quite sure which file.","linux,unix,procfs","89745","5"
"Best version control system for managing home directories","I have 3 Linux machines, and want some way to keep the dotfiles in their home directories in sync. Some files, like .vimrc, are the same across all 3 machines, and some are unique to each machine. I've used SVN before, but all the buzz about DVCSs makes me think I should try one - is there a particular one that would work best with this? Or should I stick with SVN?","linux,version-control","38362","12"
"What is the difference between gcc optimization levels?","What is the difference between different optimization levels in GCC? Assuming I don't care to have any debug hooks, why wouldn't I just use the highest level of optimization available to me? does a higher level of optimization necessarily (i.e. provably) generate a faster program?","linux,gcc","90203","24"
"How to join webcam FLVs","I want my website to join some webcam recordings in FLV files (like this one). This needs to be done on Linux without user input. How do I do this? For simplicity's sake, I'll use the same flv as both inputs in hope of getting a flv that plays the same thing twice in a row. That should be easy enough, right? There's even a full code example in the ffmpeg FAQ. Well, pipes seem to be giving me problems (both on my mac running Leopard and on Ubuntu 8.04) so let's keep it simple and use normal files. Also, if I don't specify a rate of 15 fps, the visual part plays extremely fast. The example script thus becomes: ffmpeg -i input.flv -vn -f u16le -acodec pcm_s16le -ac 2 -ar 44100 \ - > temp.a temp.v all.v cat temp.a temp.a > all.a ffmpeg -f u16le -acodec pcm_s16le -ac 2 -ar 44100 -i all.a \ -f yuv4mpegpipe -i all.v -sameq -y output.flv Well, using this will work for the audio, but I only get the video the first time around. This seems to be the case for any flv I throw as input.flv, including the movie teasers that come with red5. a) Why doesn't the example script work as advertised, in particular why do I not get all the video I'm expecting? b) Why do I have to specify a framerate while Wimpy player can play the flv at the right speed? The only way I found to join two flvs was to use mencoder. Problem is, mencoder doesn't seem to join flvs: mencoder input.flv input.flv -o output.flv -of lavf -oac copy \ -ovc lavc -lavcopts vcodec=flv I get a Floating point exception... MEncoder 1.0rc2-4.0.1 (C) 2000-2007 MPlayer Team CPU: Intel(R) Xeon(R) CPU 5150 @ 2.66GHz (Family: 6, Model: 15, Stepping: 6) CPUflags: Type: 6 MMX: 1 MMX2: 1 3DNow: 0 3DNow2: 0 SSE: 1 SSE2: 1 Compiled for x86 CPU with extensions: MMX MMX2 SSE SSE2 success: format: 0 data: 0x0 - 0x45b2f libavformat file format detected. [flv @ 0x697160]Unsupported audio codec (6) [flv @ 0x697160]Could not find codec parameters (Audio: 0x0006, 22050 Hz, mono) [lavf] Video stream found, -vid 0 [lavf] Audio stream found, -aid 1 VIDEO: [FLV1] 240x180 0bpp 1000.000 fps 0.0 kbps ( 0.0 kbyte/s) [V] filefmt:44 fourcc:0x31564C46 size:240x180 fps:1000.00 ftime:=0.0010 ** MUXER_LAVF ***************************************************************** REMEMBER: MEncoder's libavformat muxing is presently broken and can generate INCORRECT files in the presence of B frames. Moreover, due to bugs MPlayer will play these INCORRECT files as if nothing were wrong! ******************************************************************************* OK, exit Opening video filter: [expand osd=1] Expand: -1 x -1, -1 ; -1, osd: 1, aspect: 0.000000, round: 1 ========================================================================== Opening video decoder: [ffmpeg] FFmpeg's libavcodec codec family Selected video codec: [ffflv] vfm: ffmpeg (FFmpeg Flash video) ========================================================================== audiocodec: framecopy (format=6 chans=1 rate=22050 bits=16 B/s=0 sample-0) VDec: vo config request - 240 x 180 (preferred colorspace: Planar YV12) VDec: using Planar YV12 as output csp (no 0) Movie-Aspect is undefined - no prescaling applied. videocodec: libavcodec (240x180 fourcc=31564c46 [FLV1]) VIDEO CODEC ID: 22 AUDIO CODEC ID: 10007, TAG: 0 Writing header... [NULL @ 0x67d110]codec not compatible with flv Floating point exception c) Is there a way for mencoder to decode and encode flvs correctly? So the only way I've found so far to join flvs, is to use ffmpeg to go back and forth between flv and avi, and use mencoder to join the avis: ffmpeg -i input.flv -vcodec rawvideo -acodec pcm_s16le -r 15 file.avi mencoder -o output.avi -oac copy -ovc copy -noskip file.avi file.avi ffmpeg -i output.avi output.flv d) There must be a better way to achieve this... Which one? e) Because of the problem of the framerate, though, only flvs with constant framerate (like the one I recorded through facebook) will be converted correctly to avis, but this won't work for the flvs I seem to be recording (like this one or this one). Is there a way to do this for these flvs too? Any help would be very appreciated.","linux,flash,ffmpeg,webcam,mencoder","67685","8"
"How to backup LIF formatted disk?","I have several old 3.5in floppy disks that I would like to backup. My attempts to create an image of the disks have failed. I tried using the UNIX utility dd_rescue, but when the kernel tries to open (/dev/fd0) I get a kernel error, floppy0: probe failed... I would like an image because some of the floppies are using the LIF file system format. Does anyone have any ideas as to what I should do? HP now Agilent made some tools that could read and write to files on LIF formatted disk. I could use these tools to copy and convert the files to the local disk but not without possibly losing some data in the process. In other words, converting from LIF to some other format back to LIF will lose some information. I just want to backup the raw bytes on the disk and not be concerned with the type of file system.","linux,filesystems,disk,dd","87758","-2"
"Building a custom Linux Live CD","Can anyone point me to a good tutorial on creating a bootable Linux CD from scratch? I need help with a fairly specialized problem: my firm sells an expansion card that requires custom firmware. Currently we use an extremely old live CD image of RH7.2 that we update with current firmware. Manufacturing puts the cards in a machine, boots off the CD, the CD writes the firmware, they power off and pull the cards. Because of this cycle, it's essential that the CD boot and shut down as quickly as possible. The problem is that with the next generation of cards, I have to update the CD to a 2.6 kernel. It's easy enough to acquire a pre-existing live CD - but those all are designed for showing off Linux on the desktop - which means they take forever to boot. Can anyone fix me up with a current How-To? Update: So, just as a final update for anyone reading this later - the tool I ended up using was ""livecd-creator"". My reason for choosing this tool was that it is available for RedHat-based distributions like CentOs, Fedora and RHEL - which are all distributions that my company supports already. In addition, while the project is very poorly documented it is extremely customizable. I was able to create a minimal LiveCD and edit the boot sequence so that it booted directly into the firmware updater instead of a bash shell. The whole job would have only taken an hour or two if there had been a README explaining the configuration file!","linux","33117","23"
"What is the status of POSIX asynchronous I/O (AIO)?","There are pages scattered around the web that describe POSIX AIO facilities in varying amounts of detail. None of them are terribly recent. It's not clear what, exactly, they're describing. For example, the ""official"" (?) web site for Linux kernel asynchronous I/O support here says that sockets don't work, but the ""aio.h"" manual pages on my Ubuntu 8.04.1 workstation all seem to imply that it works for arbitrary file descriptors. Then there's another project that seems to work at the library layer with even less documentation. I'd like to know: What is the purpose of POSIX AIO? Given that the most obvious example of an implementation I can find says it doesn't support sockets, the whole thing seems weird to me. Is it just for async disk I/O? If so, why the hyper-general API? If not, why is disk I/O the first thing that got attacked? Where are there example complete POSIX AIO programs that I can look at? Does anyone actually use it, for real? What platforms support POSIX AIO? What parts of it do they support? Does anyone really support the implied ""Any I/O to any FD"" that seems to promise? The other multiplexing mechanisms available to me are perfectly good, but the random fragments of information floating around out there have made me curious.","linux,asynchronous,posix,bsd,aio","87892","102"
"XSLT processing in/from ruby","Can anyone recommend an efficient method to execute XSLT transforms of XML data within a Ruby application? The XSL gem (REXSL) is not available yet, and while I have seen a project or two that implement it, I'm wary of using them so early on. A friend had recommended a shell out call to Perl, but I'm worried about resources. This is for a linux environment.","xml,ruby,linux,xslt","75340","3"
"What package includes AB the Apache Server Benchmarking Tool in Ubuntu","I'm trying to find ab - Apache HTTP server benchmarking tool for Ubuntu, I'm hoping there's a package I can install for it. I decided I need to do some simple load testing on my applications.","linux,apache,ubuntu","66606","86"
"PDF generation from XHTML in a LAMP environment","Can anyone recommend a good server-side PDF generation tool that would work in a Linux environment. I want easy as possible, pass it a XHTML file (with images) and have it generate a PDF from the rendered source. I don't have a massive budget, but anything under $1000 should be alright. Andrew","linux,pdf,pdf-generation","14911","5"
"Is it possible to offline a disk in a raidz zfs pool?","When i try to offline a disk in a zfs raidz pool (the raidz pool is not mirrored), zfs says that the disk cannot be taken offline because it has no valid mirror. Isn't one of the properties of raidz that it has a redundant disk (or even 2 disks in raidz2)...?","linux,filesystems,solaris,zfs","75693","1"
"Store more than 3GB of video-frames in memory, on 32-bit OS","At work we have an application to play 2K (2048*1556px) OpenEXR film sequences. It works well.. apart from when sequences that are over 3GB (quite common), then it has to unload old frames from memory, despite the fact all machines have 8-16GB of memory (which is addressable via the linux BIGMEM stuff). The frames have to he cached into memory to play back in realtime. The OS is a several-year old 32-bit Fedora Distro (not possible to upgradable to 64bit, for the foreseeable future). The per-process limitation is 3GB per process. Basically, is it possible to cache more than 3GB of data in memory, somehow? My initial idea was to spread the data between multiple processes, but I've no idea if this is possible..","linux,memory,32-bit","41643","4"
"Developing drivers with no info","How does the open-source/free software community develop drivers for products that offer no documentation?","linux,kernel,drivers,bsd","59194","2"
"mount rootfs on loopback","I have a rootfs boot image that I want to test by mounting on my local file system. How can I do this ? EDIT: The file was a rootfs.img but it turned out I did not have the correct filesystem support in my custom kernel. pjz's answer works once the fs support is there.","linux,rootfs","75862","2"
"Get two Linux (virtual) boxes talking over a serial port","What is the best way to setup one Linux box to listen on its serial port for incoming connections? I've done a lot of googling but I can't find the right combination of commands to actually get them to talk! My main objective is to provide a serial interface to running instances of kvm/qemu VMs. They currently only have a VNC interface (they are on headless servers, no X). I can get the VM to create a serial device by starting it with the -serial file: flag, but how to talk to it, is a whole other problem. Both boxes are running Ubuntu 8.04.","linux,serial-port,virtualization,kvm,qemu","69692","4"
"Is there a way to check if there are symbolic links pointing to a directory?","I have a folder on my server to which I had a number of symbolic links pointing. I've since created a new folder and I want to change all those symbolic links to point to the new folder. I'd considered replacing the original folder with a symlink to the new folder, but it seems that if I continued with that practice it could get very messy very fast. What I've been doing is manually changing the symlinks to point to the new folder, but I may have missed a couple. Is there a way to check if there are any symlinks pointing to a particular folder?","linux,symlink","100170","76"
"How do I run a script when ip-address changes (most likely using a dhclient hook) on a (Ubuntu) Linux machine?","I have a script which contacts a few sources and tell them ""the IP-address XXX.XXX.XXX.XXX is my current one"". My test web server has a dynamic IP-address through DHCP and amongst other things it needs to update a DDNS entry when its IP-address changes. However it's not the only thing it does, so I will need to run my own custom script. I suspect that this is possible by a attaching the script to be run for a given dhclient hook. However I still need to know which hook I should use, and how.","linux,unix,hook,dhcp","113730","3"
"can't delete directory under linux due to broken files","kt@rails-ubuntu:~/rails/ledger/releases/20080820144914/.git/hooks$ ls -al ls: cannot access post-commit: No such file or directory ls: cannot access update: No such file or directory ls: cannot access post-update: No such file or directory ls: cannot access commit-msg: No such file or directory ls: cannot access pre-rebase: No such file or directory ls: cannot access post-receive: No such file or directory ls: cannot access pre-applypatch: No such file or directory ls: cannot access pre-commit: No such file or directory total 8 drwxrwxr-x 2 kt kt 4096 2008-09-09 18:10 . drwxrwxr-x 4 kt kt 4096 2008-09-09 18:10 .. -????????? ? ? ? ? ? commit-msg -????????? ? ? ? ? ? post-commit -????????? ? ? ? ? ? post-receive -????????? ? ? ? ? ? post-update -????????? ? ? ? ? ? pre-applypatch -????????? ? ? ? ? ? pre-commit -????????? ? ? ? ? ? pre-rebase -????????? ? ? ? ? ? update","linux,system-administration,rm","72936","4"
"P/Invoke in Mono","What's the current status of Mono's Platform Invoke implementation on Linux and on Solaris?",".net,linux,mono,pinvoke,solaris","35853","21"
"linux uptime history","How can I get a history of uptimes for my debian box? After a reboot, I dont see an option for the uptime command to print a history of uptimes. If it matters, I would like to use these uptimes for graphing a page in php to show my webservers uptime lengths between boots. Update: Not sure if it is based on a length of time or if last gets reset on reboot but I only get the most recent boot timestamp with the last command. last -x also does not return any further info. Sounds like a script is my best bet. Update: Uptimed is the information I am looking for, not sure how to grep that info in code. Managing my own script for a db sounds like the best fit for an application.","linux","79490","39"
"Which Scripting language is best?","For writing scripts for process automation in Linux platform, which scripting language will be better, shell script, Perl, Python, or anything else? I am new to all of them. I am just thinking to which one to go for.","linux,scripting","70453","25"
"X/Gnome: How to measure the geometry of an open window","Is there a standard X / Gnome program that will display the X,Y width and depth in pixels of a window that I select? Something similar to the way an xterm shows you the width and depth of the window (in lines) as you resize it. I'm running on Red Hat Enterprise Linux 4.4. Thanks!","linux,x11,gnome","73087","18"
"How do I find if my particular computer is going to have problems when I install linux?","The IT lady just gave me a laptop to keep! I've always wanted to have Linux install to play with so the first thing I did is search stackoverflow for Linux Distro suggestions and found it here. However they also mention that you should search around to see if anyone's had any problems with your drivers and that distro. Now all I know is that this is a Toshiba Tecra A5 - I havent' even booted it up yet but when I do how should I go about researching whether the drivers are compatible with Ubuntu or whatever I choose to use? Should I just be googling Ubunto+DriverName or are there better resources?","linux,installation,drivers","59627","1"
"How to list the contents of a package using YUM?","I know how to use rpm to list the contents of a package (rpm -qpil package.rpm). However, this requires knowing the location of the .rpm file on the filesystem. A more elegant solution would be to use the package manager, which in my case is YUM. How can YUM be used to achieve this?","linux,fedora,rpm,yum,package-managers","104055","355"
"Unix commands like ping, ssh, work fine but socket-based programs are failing in connect","I got a call from a tester about a machine that was failing our software. When I examined the problem machine, I quickly realized the problem was fairly low level: Inbound network traffic works fine. Basic outbound command like ping and ssh are working fine, but anything involving the connect() call is failing with ""No route to host"". For example - on this particular machine this program will fail on the connect() statement for any IP address other than 127.0.0.1: #!/usr/bin/perl -w use strict; use Socket; my ($remote,$port, $iaddr, $paddr, $proto, $line); $remote = shift || 'localhost'; $port = shift || 2345; # random port if ($port =~ /\D/) { $port = getservbyname($port, 'tcp') } die ""No port"" unless $port; $iaddr = inet_aton($remote) || die ""no host: $remote""; $paddr = sockaddr_in($port, $iaddr); $proto = getprotobyname('tcp'); socket(SOCK, PF_INET, SOCK_STREAM, $proto) || die ""socket: $!""; connect(SOCK, $paddr) || die ""connect: $!""; while (defined($line = )) { print $line; } close (SOCK) || die ""close: $!""; exit; Any suggestions about where this machine is broken? It's running SUSE-10.2.","linux,sockets,suse","96113","1"
"REDUX: How to overcome an incompatibility between the ksh on Linux vs. that installed on AIX/Solaris/HPUX?","I have uncovered another problem in the effort that we are making to port several hundreds of ksh scripts from AIX, Solaris and HPUX to Linux. See here for the previous problem. This code: #!/bin/ksh if [ -a k* ]; then echo ""Oh yeah!"" else echo ""No way!"" fi exit 0 (when run in a directory with several files whose name starts with k) produces ""Oh yeah!"" when called with the AT&T ksh variants (ksh88 and ksh93). On the other hand it produces and error message followed by ""No way!"" on the other ksh variants (pdksh, MKS ksh and bash). Again, my question are: Is there an environment variable that will cause pdksh to behave like ksh93? Failing that: Is there an option on pdksh to get the required behavior?","linux,solaris,ksh,aix,hp-ux","96133","2"
"Not able to delete directory","I am having a frequent problems with my web hosting (its shared) I am not able to delete or change permission for a particular directory. The response is, Cannot delete. Directory may not be empty I checked the permissions and it looks OK. There are 100's of files in this folder which I don't want. I contacted my support and they solved it saying it was permission issue. But it reappeared. Any suggestions? The server is Linux.","linux,web-hosting,file-permissions","73474","0"
"How to programmatically create videos?","Is there a freely available library to create a MPEG (or any other simple video format) out of an image sequence ? It must run on Linux too, and ideally have Python bindings.","linux,video,mpeg","93954","10"
"Recursively list all files in a directory including files in symlink directories","Suppose I have a directory /dir inside which there are 3 symlinks to other directories /dir/dir11, /dir/dir12, and /dir/dir13. I want to list all the files in dir including the ones in dir11, dir12 and dir13. To be more generic, I want to list all files including the ones in the directories which are symlinks. find ., ls -R, etc stop at the symlink without navigating into them to list further.","linux","105212","189"
"ssh-agent with passwords without spawning too many processes","I use ssh-agent with password-protected keys on Linux. Every time I log into a certain machine, I do this: eval `ssh-agent` && ssh-add This works well enough, but every time I log in and do this, I create another ssh-agent. Once in a while, I will do a killall ssh-agent to reap them. Is there a simple way to reuse the same ssh-agent process across different sessions?","linux,ssh","102382","6"
"VMware server 1.0.7 modules incompatible with kernel 2.6.26 -- patched, where to submit?","VMware server 1.0.7 installed with vmware-package Debian GNU/Linux testing (lenny) Kernel 2.6.26-1-686 There were several compile problems when trying to build the binary kernel modules from the vmware-server-kernel-source package made by vmware-package from the VMware server tarball. Recently VMware has updated their kernel module sources so as to make them compatible with kernel 2.6.25, but they broke again with 2.6.26. vmmon-only/linux/driver.c:146: error: unknown field 'nopage' specified in initializer vmmon-only/linux/driver.c:147: warning: initialization from incompatible pointer type vmmon-only/linux/driver.c:150: error: unknown field 'nopage' specified in initializer vmmon-only/linux/driver.c:151: warning: initialization from incompatible pointer type That's only the first error, but there are other compile problems (in vmnet-only). Many advice on forums are to use vmware-any-any instead, but that has its own problems (see my other question). As you can see from my own answer below, I've solved the problem by fixing the incompatiblities, and came up with a patch. Now I'd like VMware to include it in future releases, to save me and others trouble of applying it by hand after every VMware or kernel upgrade. Question: where/how do I submit such fixes to VMware?","linux,vmware,kernel,debian","111281","0"
"What is the best tool to convert common video formats to FLV on a Linux CLI","Part of a new product I have been assigned to work on involves server-side conversion of the 'common' video formats to something that Flash can play. As far as I know, my only option is to convert to FLV. I have been giving ffmpeg a go around, but I'm finding a few WMV files that come out with garbled sound (I've tried playing with the audio rates). Are there any other 'good' CLI converters for Linux? Or are there other video formats that Flash can play?","linux,flash,video,flv","97781","11"
"Command line program to create website screenshots (on Linux)","What is a good command line tool to create screenshots of websites on Linux? I need to automatically generate screenshots of websites without human interaction. The only tool that I found was khtml2png, but I wonder if there are others that aren't based on khtml (i.e. have good JavaScript support, ...).","linux,screenshot","125951","68"
"What's a simple method to dump pipe input to a file? (Linux)","I'm looking for a little shell script that will take anything piped into it, and dump it to a file.. for email debugging purposes. Any ideas?","linux,pipe,exim","76700","8"
